avg_success_rate,category,correct_choice_id,created_at,description,difficulty_level,estimated_duration_minutes,feedback_correct,feedback_incorrect,is_active,is_mandatory,learning_objective,points_reward,related_module_id,scenario_code,scenario_id,scenario_title,scenario_type,target_age_group,times_presented,total_choices,updated_at
0.78,Security,1,2023-01-20T06:25:00.000Z,Identify secure vs insecure websites,Easy,5,Great job identifying the correct approach to secure connection check!,Review the key concepts about secure connection check and try again.,true,true,Students will learn to handle secure connection check situations safely.,15,2,SAF011,11,Secure Connection Check,simulation,All,3076,4,2025-04-06T16:54:00.000Z
0.84,Security,3,2023-09-28T15:46:00.000Z,Set up two-factor authentication,Medium,8,Great job identifying the correct approach to account security setup!,Review the key concepts about account security setup and try again.,true,true,Students will learn to handle account security setup situations safely.,25,2,SAF012,12,Account Security Setup,quiz,14-15,3429,4,2025-01-31T14:11:00.000Z
0.71,Identity,3,2023-03-30T15:50:00.000Z,Search for your online presence,Medium,8,Great job identifying the correct approach to digital footprint check!,Review the key concepts about digital footprint check and try again.,true,true,Students will learn to handle digital footprint check situations safely.,25,2,SAF013,13,Digital Footprint Check,video_choice,14-15,3660,4,2025-02-18T20:55:00.000Z
0.74,Wellness,1,2023-09-23T06:50:00.000Z,Set healthy device usage limits,Easy,5,Great job identifying the correct approach to screen time management!,Review the key concepts about screen time management and try again.,true,true,Students will learn to handle screen time management situations safely.,15,3,SAF014,14,Screen Time Management,interactive_story,All,7330,4,2025-01-25T13:50:00.000Z
0.76,Security,4,2023-12-21T18:20:00.000Z,Recognize in-game scams,Medium,8,Great job identifying the correct approach to gaming safety!,Review the key concepts about gaming safety and try again.,true,true,Students will learn to handle gaming safety situations safely.,25,2,SAF015,15,Gaming Safety,interactive_story,14-15,3052,4,2024-06-19T17:05:00.000Z
0.83,Security,4,2023-05-19T09:38:00.000Z,Identify safe shopping websites,Medium,8,Great job identifying the correct approach to online shopping safety!,Review the key concepts about online shopping safety and try again.,true,true,Students will learn to handle online shopping safety situations safely.,25,3,SAF016,16,Online Shopping Safety,simulation,14-15,1766,4,2024-06-11T10:58:00.000Z
0.83,Privacy,3,2023-01-30T13:30:00.000Z,Secure video conference setup,Easy,5,Great job identifying the correct approach to video call security!,Review the key concepts about video call security and try again.,true,true,Students will learn to handle video call security situations safely.,15,2,SAF017,17,Video Call Security,simulation,All,2607,4,2025-11-21T22:55:00.000Z
0.78,Privacy,4,2023-09-30T07:19:00.000Z,Manage location permissions,Medium,8,Great job identifying the correct approach to location sharing risks!,Review the key concepts about location sharing risks and try again.,true,true,Students will learn to handle location sharing risks situations safely.,25,3,SAF018,18,Location Sharing Risks,video_choice,14-15,7701,4,2025-08-04T10:06:00.000Z
0.7,Security,3,2023-05-16T08:09:00.000Z,Recognize malware warning signs,Hard,12,Great job identifying the correct approach to malware prevention!,Review the key concepts about malware prevention and try again.,true,false,Students will learn to handle malware prevention situations safely.,40,3,SAF019,19,Malware Prevention,simulation,16-17,2416,4,2024-10-31T10:18:00.000Z
0.79,Security,3,2023-08-20T17:07:00.000Z,Enable 2FA on accounts,Easy,5,Great job identifying the correct approach to two-factor setup!,Review the key concepts about two-factor setup and try again.,true,true,Students will learn to handle two-factor setup situations safely.,15,3,SAF020,20,Two-Factor Setup,simulation,All,1219,4,2025-02-05T17:33:00.000Z
0.84,Security,2,2023-12-18T13:02:00.000Z,Safe public network usage,Medium,8,Great job identifying the correct approach to public wifi risks!,Review the key concepts about public wifi risks and try again.,true,true,Students will learn to handle public wifi risks situations safely.,25,3,SAF021,21,Public WiFi Risks,quiz,14-15,6529,4,2024-06-29T21:32:00.000Z
0.82,Identity,2,2023-09-02T15:36:00.000Z,Protect against identity theft,Hard,12,Great job identifying the correct approach to identity theft prevention!,Review the key concepts about identity theft prevention and try again.,true,false,Students will learn to handle identity theft prevention situations safely.,40,3,SAF022,22,Identity Theft Prevention,video_choice,16-17,6147,4,2025-04-27T14:25:00.000Z
0.73,Communication,2,2023-09-29T21:58:00.000Z,How to report inappropriate content,Easy,5,Great job identifying the correct approach to report mechanisms!,Review the key concepts about report mechanisms and try again.,true,true,Students will learn to handle report mechanisms situations safely.,15,2,SAF023,23,Report Mechanisms,interactive_story,All,3422,4,2024-12-17T06:38:00.000Z
0.58,Communication,2,2023-11-24T12:41:00.000Z,Use blocking features effectively,Easy,5,Great job identifying the correct approach to blocking and filtering!,Review the key concepts about blocking and filtering and try again.,true,true,Students will learn to handle blocking and filtering situations safely.,15,2,SAF024,24,Blocking and Filtering,quiz,All,5332,4,2024-06-06T15:31:00.000Z
0.68,Content,3,2023-01-07T08:04:00.000Z,Decide if content is appropriate to share,Medium,8,Great job identifying the correct approach to content sharing decision!,Review the key concepts about content sharing decision and try again.,true,true,Students will learn to handle content sharing decision situations safely.,25,2,SAF025,25,Content Sharing Decision,simulation,14-15,5858,4,2024-10-23T13:26:00.000Z
0.68,Communication,1,2023-11-25T10:20:00.000Z,Safe chatting practices,Easy,5,Great job identifying the correct approach to chat safety rules!,Review the key concepts about chat safety rules and try again.,true,true,Students will learn to handle chat safety rules situations safely.,15,3,SAF026,26,Chat Safety Rules,interactive_story,All,5253,4,2025-02-04T11:14:00.000Z
0.67,Security,1,2023-05-28T11:22:00.000Z,Evaluate attachment safety,Medium,8,Great job identifying the correct approach to email attachment safety!,Review the key concepts about email attachment safety and try again.,true,true,Students will learn to handle email attachment safety situations safely.,25,3,SAF027,27,Email Attachment Safety,interactive_story,14-15,5179,4,2025-09-13T16:19:00.000Z
0.74,Content,4,2023-05-20T08:50:00.000Z,Assess website trustworthiness,Hard,12,Great job identifying the correct approach to website credibility!,Review the key concepts about website credibility and try again.,true,false,Students will learn to handle website credibility situations safely.,40,3,SAF028,28,Website Credibility,interactive_story,16-17,2205,4,2024-12-12T14:42:00.000Z
0.56,Security,4,2023-12-25T10:05:00.000Z,Use password managers effectively,Medium,8,Great job identifying the correct approach to password manager usage!,Review the key concepts about password manager usage and try again.,true,true,Students will learn to handle password manager usage situations safely.,25,3,SAF029,29,Password Manager Usage,quiz,14-15,7044,4,2024-10-16T10:49:00.000Z
0.62,Security,3,2023-01-08T09:01:00.000Z,Understand data backup necessity,Easy,5,Great job identifying the correct approach to backup importance!,Review the key concepts about backup importance and try again.,true,true,Students will learn to handle backup importance situations safely.,15,2,SAF030,30,Backup Importance,quiz,All,2174,4,2024-12-18T20:02:00.000Z
0.85,Security,4,2023-03-24T06:53:00.000Z,Why updates are important,Easy,5,Great job identifying the correct approach to software updates!,Review the key concepts about software updates and try again.,true,true,Students will learn to handle software updates situations safely.,15,3,SAF031,31,Software Updates,interactive_story,All,4115,4,2024-11-28T18:02:00.000Z
0.78,Security,3,2023-12-01T12:30:00.000Z,Identify common online scams,Medium,8,Great job identifying the correct approach to scam recognition!,Review the key concepts about scam recognition and try again.,true,true,Students will learn to handle scam recognition situations safely.,25,3,SAF032,32,Scam Recognition,interactive_story,14-15,1301,4,2024-12-30T11:33:00.000Z
0.73,Privacy,3,2023-04-12T14:25:00.000Z,Search privately online,Easy,5,Great job identifying the correct approach to safe search practices!,Review the key concepts about safe search practices and try again.,true,true,Students will learn to handle safe search practices situations safely.,15,2,SAF033,33,Safe Search Practices,quiz,All,1336,4,2024-07-27T19:41:00.000Z
0.78,Privacy,1,2023-10-22T14:27:00.000Z,Configure social media privacy,Medium,8,Great job identifying the correct approach to profile privacy settings!,Review the key concepts about profile privacy settings and try again.,true,true,Students will learn to handle profile privacy settings situations safely.,25,2,SAF034,34,Profile Privacy Settings,interactive_story,14-15,749,4,2024-10-19T13:40:00.000Z
0.76,Communication,1,2023-06-17T19:26:00.000Z,Respectful online commenting,Easy,5,Great job identifying the correct approach to comment etiquette!,Review the key concepts about comment etiquette and try again.,true,true,Students will learn to handle comment etiquette situations safely.,15,2,SAF035,35,Comment Etiquette,quiz,All,7131,4,2024-08-12T14:58:00.000Z
0.74,Wellness,4,2023-06-01T21:29:00.000Z,Assess digital habits,Easy,5,Great job identifying the correct approach to digital wellness check!,Review the key concepts about digital wellness check and try again.,true,true,Students will learn to handle digital wellness check situations safely.,15,2,SAF036,36,Digital Wellness Check,simulation,All,2002,4,2024-06-13T15:19:00.000Z
0.78,Content,4,2023-11-21T13:20:00.000Z,Safe AI chatbot usage,Medium,8,Great job identifying the correct approach to ai chatbot interaction!,Review the key concepts about ai chatbot interaction and try again.,true,true,Students will learn to handle ai chatbot interaction situations safely.,25,2,SAF037,37,AI Chatbot Interaction,simulation,14-15,3081,4,2024-09-07T12:03:00.000Z
0.75,Content,1,2023-07-18T11:56:00.000Z,Identify potential deepfakes,Hard,12,Great job identifying the correct approach to deepfake awareness!,Review the key concepts about deepfake awareness and try again.,true,false,Students will learn to handle deepfake awareness situations safely.,40,3,SAF038,38,Deepfake Awareness,quiz,16-17,932,4,2025-10-01T08:46:00.000Z
0.68,Content,4,2023-05-20T06:18:00.000Z,Using content legally,Medium,8,Great job identifying the correct approach to copyright understanding!,Review the key concepts about copyright understanding and try again.,true,true,Students will learn to handle copyright understanding situations safely.,25,3,SAF039,39,Copyright Understanding,simulation,14-15,6785,4,2025-05-01T17:48:00.000Z
0.56,Privacy,4,2023-02-16T16:55:00.000Z,Understanding ToS documents,Hard,12,Great job identifying the correct approach to terms of service review!,Review the key concepts about terms of service review and try again.,true,false,Students will learn to handle terms of service review situations safely.,40,2,SAF040,40,Terms of Service Review,video_choice,16-17,6724,4,2024-12-18T07:01:00.000Z
