achievement_code,achievement_id,achievement_name,badge_color,badge_icon,category,created_at,description,display_order,is_active,is_hidden,is_repeatable,max_times_earnable,points_value,rarity,trigger_condition,trigger_type
ACH018,18,Module Master,gold,badge_018.png,Learning,2023-05-15T07:52:00.000Z,Complete any 3 modules,18,true,false,false,1,200,Rare,Complete any 3 modules,automatic
ACH019,19,Course Completer,diamond,badge_019.png,Learning,2023-05-15T09:13:00.000Z,Complete all 12 modules,19,true,true,false,1,500,Legendary,Complete all 12 modules,automatic
ACH020,20,Helpful Hand,bronze,badge_020.png,Social,2023-05-31T19:27:00.000Z,Help a peer,20,true,false,true,5,25,Common,Help a peer,automatic
ACH021,21,Fast Finisher,gold,badge_021.png,Engagement,2023-05-12T12:38:00.000Z,Complete module in 2 hours,21,true,false,false,1,50,Rare,Complete module in 2 hours,automatic
ACH022,22,Deep Diver,silver,badge_022.png,Engagement,2023-02-08T19:57:00.000Z,Spend 10+ hours learning,22,true,false,false,1,75,Uncommon,Spend 10+ hours learning,automatic
ACH023,23,Perfectionist,gold,badge_023.png,Learning,2023-03-22T16:06:00.000Z,Score 90%+ on 10 quizzes,23,true,false,false,1,150,Rare,Score 90%+ on 10 quizzes,automatic
ACH024,24,Comeback Kid,bronze,badge_024.png,Engagement,2023-03-06T14:07:00.000Z,Return after 7+ days,24,true,false,true,5,20,Common,Return after 7+ days,automatic
ACH025,25,Rising Star,silver,badge_025.png,Progress,2023-06-09T10:37:00.000Z,Reach Level 10,25,true,false,false,1,100,Uncommon,Reach Level 10,automatic
ACH026,26,Knowledge Seeker,silver,badge_026.png,Learning,2023-02-19T14:32:00.000Z,View 50 content items,26,true,false,false,1,50,Uncommon,View 50 content items,automatic
ACH027,27,Skill Builder,silver,badge_027.png,Skills,2023-06-02T12:17:00.000Z,Acquire 10 skills,27,true,false,false,1,75,Uncommon,Acquire 10 skills,automatic
ACH028,28,Level Up,bronze,badge_028.png,Progress,2023-05-07T10:47:00.000Z,Reach Level 5,28,true,false,true,5,50,Common,Reach Level 5,automatic
ACH029,29,Super Student,gold,badge_029.png,Progress,2023-01-30T16:29:00.000Z,Earn 1000 total points,29,true,false,false,1,100,Rare,Earn 1000 total points,automatic
ACH030,30,Future Leader,silver,badge_030.png,Career,2023-04-16T13:09:00.000Z,Complete Career module,30,true,false,false,1,100,Uncommon,Complete Career module,automatic
ACH031,31,Tech Enthusiast,platinum,badge_031.png,Learning,2023-03-19T08:15:00.000Z,Complete all tech modules,31,true,false,false,1,200,Epic,Complete all tech modules,automatic
ACH032,32,Problem Solver,gold,badge_032.png,Learning,2023-03-08T18:51:00.000Z,Answer 100 questions,32,true,false,false,1,100,Rare,Answer 100 questions,automatic
ACH033,33,Digital Citizen,silver,badge_033.png,Safety,2023-03-30T12:57:00.000Z,Complete Social Media module,33,true,false,false,1,75,Uncommon,Complete Social Media module,automatic
ACH034,34,Safe Surfer,gold,badge_034.png,Safety,2023-02-19T13:50:00.000Z,Pass all safety scenarios,34,true,false,false,1,150,Rare,Pass all safety scenarios,automatic
ACH035,35,Password Pro,bronze,badge_035.png,Safety,2023-03-09T16:36:00.000Z,Complete password scenario,35,true,false,true,5,25,Common,Complete password scenario,automatic
ACH036,36,Privacy Guardian,bronze,badge_036.png,Safety,2023-06-11T16:30:00.000Z,Complete privacy scenario,36,true,false,true,5,25,Common,Complete privacy scenario,automatic
ACH037,37,AI Explorer,gold,badge_037.png,Learning,2023-05-22T16:30:00.000Z,Complete both AI modules,37,true,false,false,1,150,Rare,Complete both AI modules,automatic
ACH038,38,Career Ready,silver,badge_038.png,Career,2023-06-25T19:47:00.000Z,Complete Future of Work,38,true,false,false,1,100,Uncommon,Complete Future of Work,automatic
ACH039,39,Money Smart,silver,badge_039.png,Life Skills,2023-04-28T14:26:00.000Z,Complete Financial Literacy,39,true,false,false,1,100,Uncommon,Complete Financial Literacy,automatic
ACH040,40,Lifelong Learner,bronze,badge_040.png,Engagement,2023-02-02T15:46:00.000Z,Review completed module,40,true,false,true,5,30,Common,Review completed module,automatic
ACH041,41,Quiz Whiz,gold,badge_041.png,Learning,2023-04-13T16:39:00.000Z,Complete 50 quizzes,41,true,false,false,1,100,Rare,Complete 50 quizzes,automatic
ACH042,42,Consistency King,silver,badge_042.png,Engagement,2023-04-12T21:49:00.000Z,Study same time 5 days,42,true,false,false,1,40,Uncommon,Study same time 5 days,automatic
ACH043,43,Explorer,bronze,badge_043.png,Engagement,2023-05-18T20:32:00.000Z,Visit every section,43,true,false,true,5,20,Common,Visit every section,automatic
ACH044,44,Feedback Giver,bronze,badge_044.png,Engagement,2023-02-09T10:29:00.000Z,Rate 10 lessons,44,true,false,true,5,30,Common,Rate 10 lessons,automatic
ACH045,45,Note Taker,bronze,badge_045.png,Learning,2023-04-02T15:00:00.000Z,Take notes in 5 lessons,45,true,false,true,5,25,Common,Take notes in 5 lessons,automatic
ACH046,46,Bookworm,bronze,badge_046.png,Engagement,2023-02-03T06:46:00.000Z,Bookmark 10 lessons,46,true,false,true,5,20,Common,Bookmark 10 lessons,automatic
ACH047,47,Social Butterfly,silver,badge_047.png,Social,2023-04-11T16:22:00.000Z,Connect with 5 peers,47,true,false,false,1,40,Uncommon,Connect with 5 peers,automatic
ACH048,48,Mentor Material,gold,badge_048.png,Social,2023-01-19T11:41:00.000Z,Help 10 peers,48,true,false,false,1,100,Rare,Help 10 peers,automatic
ACH049,49,Innovation Spark,silver,badge_049.png,Skills,2023-06-26T13:03:00.000Z,Complete creative project,49,true,false,false,1,75,Uncommon,Complete creative project,automatic
ACH050,50,Certificate Achiever,gold,badge_050.png,Progress,2023-06-24T08:05:00.000Z,Earn first certificate,50,true,false,false,1,150,Rare,Earn first certificate,automatic
