attempt_number,confidence_level,created_at,device_used,feedback_helpful_rating,feedback_viewed,is_correct,points_earned,reflection_submitted,reflection_text,response_id,response_time_seconds,scenario_id,selected_choice,session_id,student_id
2,Somewhat Sure,2025-07-27T16:52:00.000Z,mobile,,true,false,0,false,,53,211,9,1,sess_812077,4032
1,Somewhat Sure,2025-06-16T09:12:00.000Z,desktop,4,true,false,0,false,,54,95,31,3,sess_586755,8275
2,Somewhat Sure,2025-05-09T09:37:00.000Z,desktop,,true,false,0,false,I learned about safe search practices,55,265,33,1,sess_366353,4522
2,Somewhat Sure,2025-01-30T09:44:00.000Z,desktop,5,true,false,0,true,,56,63,11,2,sess_719009,4468
1,Very Sure,2025-09-16T11:01:00.000Z,mobile,5,true,false,0,false,,57,163,21,4,sess_667218,9038
2,Guessed,2025-05-24T15:42:00.000Z,desktop,3,false,true,25,false,,58,65,10,4,sess_825214,14173
1,Somewhat Sure,2025-08-22T17:15:00.000Z,mobile,,false,false,0,false,,59,288,3,2,sess_107939,8141
2,Somewhat Sure,2025-06-28T16:34:00.000Z,tablet,5,true,false,0,false,I learned about email attachment safety,60,264,27,3,sess_483284,10263
1,Very Sure,2026-01-02T22:53:00.000Z,tablet,5,true,false,0,false,,61,232,19,4,sess_992925,1548
1,Unsure,2025-10-10T07:16:00.000Z,tablet,,true,false,0,false,I learned about chat safety rules,62,60,26,3,sess_415303,1177
1,Somewhat Sure,2025-09-25T13:21:00.000Z,tablet,,true,true,25,false,I learned about suspicious link alert,63,122,4,4,sess_118201,12448
2,Very Sure,2024-11-25T20:08:00.000Z,mobile,4,false,false,0,true,,64,92,24,4,sess_173762,3487
1,Guessed,2025-06-21T10:05:00.000Z,mobile,3,false,false,0,false,,65,113,26,3,sess_914081,4584
2,Guessed,2024-11-15T20:36:00.000Z,desktop,,true,true,15,false,,66,165,20,3,sess_589368,2518
1,Very Sure,2025-06-16T16:03:00.000Z,mobile,4,true,false,0,false,I learned about identity theft prevention,67,55,22,1,sess_874131,9214
1,Very Sure,2025-09-09T07:27:00.000Z,desktop,5,true,false,0,false,I learned about ai chatbot interaction,68,169,37,1,sess_359235,6214
1,Somewhat Sure,2025-01-26T09:53:00.000Z,tablet,3,true,false,0,false,,69,91,14,4,sess_751760,3090
1,Very Sure,2025-09-05T22:06:00.000Z,mobile,3,true,false,0,false,I learned about chat safety rules,70,98,26,4,sess_805628,520
2,Unsure,2025-10-07T12:29:00.000Z,mobile,4,false,false,0,true,,71,178,37,2,sess_476725,4413
2,Unsure,2025-12-08T19:14:00.000Z,desktop,3,true,true,25,false,I learned about scam recognition,72,139,32,3,sess_477233,9716
1,Somewhat Sure,2024-09-05T19:07:00.000Z,desktop,,false,true,25,false,,73,80,37,4,sess_273146,10072
1,Guessed,2025-04-06T16:27:00.000Z,tablet,,true,true,25,false,I learned about digital footprint check,74,197,13,3,sess_204943,4761
1,Very Sure,2024-06-05T22:01:00.000Z,mobile,5,true,false,0,false,,75,70,18,1,sess_310315,10611
2,Somewhat Sure,2025-08-26T15:55:00.000Z,mobile,,true,true,40,false,,76,57,28,4,sess_533778,772
1,Unsure,2025-06-20T08:05:00.000Z,desktop,5,true,true,25,true,I learned about copyright understanding,77,139,39,4,sess_620575,10538
1,Somewhat Sure,2025-04-17T21:47:00.000Z,mobile,4,true,false,0,true,,78,148,34,4,sess_712810,1050
1,Somewhat Sure,2025-03-19T12:17:00.000Z,mobile,3,false,false,0,false,I learned about social media privacy,79,59,6,4,sess_426469,14221
1,Somewhat Sure,2025-02-22T11:05:00.000Z,desktop,,true,true,25,true,,80,214,10,4,sess_196373,14664
2,Guessed,2025-04-04T22:23:00.000Z,desktop,,true,false,0,false,,81,63,23,4,sess_704970,11130
1,Somewhat Sure,2025-06-04T22:27:00.000Z,tablet,5,true,false,0,false,I learned about content sharing decision,82,138,25,2,sess_781881,5635
2,Unsure,2025-02-08T17:17:00.000Z,mobile,3,true,false,0,true,,83,230,39,2,sess_326923,5503
2,Somewhat Sure,2025-08-19T07:05:00.000Z,desktop,,true,false,0,false,,84,201,32,2,sess_847937,12595
1,Somewhat Sure,2025-02-02T22:24:00.000Z,tablet,3,false,false,0,false,,85,264,32,2,sess_202267,11114
1,Unsure,2024-12-10T15:35:00.000Z,desktop,5,true,false,0,true,,86,212,28,3,sess_354886,274
1,Unsure,2024-10-18T11:28:00.000Z,mobile,3,true,false,0,true,,87,154,4,3,sess_295925,13442
1,Unsure,2025-01-22T22:23:00.000Z,mobile,,false,true,15,false,I learned about video call security,88,63,17,3,sess_928989,6904
2,Very Sure,2024-07-27T14:32:00.000Z,mobile,5,true,false,0,false,,89,242,13,2,sess_631957,12413
1,Guessed,2025-08-16T09:27:00.000Z,tablet,5,false,false,0,false,,90,32,9,1,sess_369870,11656
2,Unsure,2025-05-18T14:14:00.000Z,tablet,,true,false,0,false,,91,226,23,4,sess_564682,4431
1,Very Sure,2024-12-06T21:20:00.000Z,mobile,4,true,false,0,false,I learned about screen time management,92,155,14,3,sess_449491,7956
2,Somewhat Sure,2025-12-02T12:17:00.000Z,desktop,,true,false,0,false,,93,195,3,4,sess_230205,5918
2,Unsure,2025-09-19T10:29:00.000Z,desktop,4,true,false,0,true,,94,133,26,2,sess_348425,8830
1,Very Sure,2025-02-16T07:30:00.000Z,mobile,5,true,false,0,false,,95,230,33,2,sess_786446,9123
1,Very Sure,2024-06-05T06:45:00.000Z,mobile,4,true,false,0,true,,96,128,17,1,sess_866841,4303
2,Very Sure,2024-10-12T10:23:00.000Z,desktop,3,false,false,0,false,,97,300,30,4,sess_822293,6833
2,Somewhat Sure,2025-03-01T06:55:00.000Z,mobile,4,true,false,0,false,,98,81,5,2,sess_501243,7365
1,Somewhat Sure,2024-10-02T07:07:00.000Z,desktop,,true,false,0,false,,99,210,13,2,sess_775539,7035
2,Somewhat Sure,2024-11-27T08:58:00.000Z,desktop,,true,false,0,false,,100,234,9,2,sess_541842,14753
2,Somewhat Sure,2024-12-09T11:26:00.000Z,tablet,,true,false,0,false,,101,282,33,2,sess_238773,4372
2,Unsure,2025-04-11T13:06:00.000Z,desktop,3,true,true,25,false,,102,110,15,4,sess_177808,4112
1,Somewhat Sure,2025-04-27T12:13:00.000Z,mobile,,true,false,0,false,,103,160,9,2,sess_344969,10258
2,Unsure,2024-07-28T06:17:00.000Z,desktop,4,false,false,0,false,,104,167,11,2,sess_129742,9357
2,Unsure,2025-12-07T21:51:00.000Z,mobile,5,true,false,0,false,,105,182,30,2,sess_620463,8939
1,Somewhat Sure,2025-10-05T20:35:00.000Z,mobile,3,true,false,0,false,,106,255,4,3,sess_302508,7273
1,Unsure,2024-11-02T14:34:00.000Z,tablet,3,true,true,15,false,,107,222,23,2,sess_440919,13758
2,Guessed,2025-03-28T09:23:00.000Z,mobile,4,true,false,0,false,,108,181,9,3,sess_543239,3643
2,Somewhat Sure,2024-07-15T08:45:00.000Z,desktop,5,true,false,0,false,I learned about cyberbullying response,109,263,5,2,sess_453578,3389
1,Unsure,2025-02-11T14:05:00.000Z,mobile,3,true,false,0,true,,110,265,40,3,sess_786377,666
2,Somewhat Sure,2025-10-04T14:10:00.000Z,desktop,,true,false,0,false,,111,200,36,1,sess_630675,14746
2,Somewhat Sure,2024-12-25T19:51:00.000Z,mobile,,true,false,0,false,I learned about password manager usage,112,117,29,3,sess_647592,5504
2,Very Sure,2024-09-30T06:27:00.000Z,desktop,,false,false,0,false,,113,260,35,3,sess_843030,13423
2,Very Sure,2024-11-27T06:58:00.000Z,mobile,4,true,true,25,false,I learned about suspicious link alert,114,175,4,4,sess_407567,7691
1,Somewhat Sure,2024-06-03T12:38:00.000Z,desktop,,false,true,15,false,,115,105,20,3,sess_912317,6760
1,Unsure,2025-01-08T10:58:00.000Z,mobile,5,false,false,0,false,,116,118,39,2,sess_597923,9376
1,Unsure,2024-09-24T14:03:00.000Z,desktop,5,true,true,25,true,,117,106,13,3,sess_590733,9012
1,Unsure,2024-07-20T06:25:00.000Z,mobile,5,true,false,0,false,,118,109,29,3,sess_505131,7707
2,Somewhat Sure,2025-07-22T20:41:00.000Z,desktop,4,true,true,40,true,,119,30,28,4,sess_516340,2648
2,Unsure,2025-12-05T15:03:00.000Z,desktop,,false,false,0,true,,120,122,11,2,sess_208596,4391
1,Very Sure,2025-07-20T17:28:00.000Z,mobile,4,true,false,0,false,I learned about screen time management,121,212,14,3,sess_351947,11934
1,Somewhat Sure,2024-06-23T16:17:00.000Z,mobile,,true,false,0,true,,122,151,13,2,sess_255668,6589
1,Guessed,2025-04-29T07:35:00.000Z,desktop,5,false,true,15,true,,123,64,17,3,sess_269580,2024
1,Guessed,2025-01-12T22:23:00.000Z,mobile,5,true,false,0,true,I learned about safe search practices,124,152,33,1,sess_754199,10232
2,Unsure,2024-07-08T07:29:00.000Z,mobile,5,true,true,25,false,,125,37,34,1,sess_844152,10423
1,Somewhat Sure,2025-04-14T07:52:00.000Z,mobile,5,true,false,0,false,,126,169,14,2,sess_694327,1038
1,Somewhat Sure,2025-01-04T12:12:00.000Z,tablet,,true,false,0,false,,127,290,19,1,sess_198519,12350
2,Somewhat Sure,2024-08-19T12:35:00.000Z,desktop,5,false,false,0,true,,128,163,12,1,sess_591492,13519
1,Guessed,2025-06-15T18:31:00.000Z,mobile,,true,false,0,false,I learned about account security setup,129,214,12,2,sess_163359,14474
1,Very Sure,2024-08-15T20:32:00.000Z,mobile,4,true,false,0,true,,130,122,7,2,sess_749259,12780
2,Unsure,2025-05-25T15:39:00.000Z,mobile,3,true,false,0,false,I learned about two-factor setup,131,269,20,1,sess_122032,10763
1,Unsure,2025-09-04T14:00:00.000Z,tablet,,true,false,0,false,I learned about video call security,132,39,17,2,sess_205419,12630
1,Somewhat Sure,2025-03-19T16:23:00.000Z,tablet,,false,false,0,false,I learned about deepfake awareness,133,98,38,3,sess_213599,11338
2,Somewhat Sure,2025-12-18T07:03:00.000Z,mobile,5,true,true,15,false,,134,30,24,2,sess_421286,7519
2,Unsure,2025-09-23T12:38:00.000Z,mobile,,false,false,0,false,I learned about terms of service review,135,78,40,3,sess_918009,8094
1,Guessed,2025-09-03T14:38:00.000Z,mobile,4,true,false,0,false,,136,103,40,1,sess_425441,9195
1,Somewhat Sure,2025-12-19T08:45:00.000Z,mobile,,true,false,0,true,I learned about website credibility,137,280,28,1,sess_586548,4247
2,Unsure,2024-08-18T21:35:00.000Z,mobile,,true,false,0,false,,138,234,16,2,sess_114174,11392
1,Somewhat Sure,2025-10-24T14:26:00.000Z,desktop,5,true,false,0,false,I learned about website credibility,139,58,28,3,sess_785884,3050
2,Unsure,2025-06-22T06:46:00.000Z,desktop,5,true,true,15,false,,140,89,30,3,sess_707888,4450
1,Somewhat Sure,2025-06-27T21:08:00.000Z,mobile,,true,true,25,false,,141,123,9,4,sess_558010,2844
2,Very Sure,2024-06-05T10:34:00.000Z,desktop,3,true,false,0,false,I learned about scam recognition,142,53,32,2,sess_803203,2079
2,Somewhat Sure,2024-11-23T14:16:00.000Z,mobile,5,false,false,0,false,,143,71,23,4,sess_284311,9882
1,Guessed,2024-06-01T17:29:00.000Z,desktop,,true,false,0,false,,144,286,18,1,sess_596920,14267
1,Very Sure,2024-11-13T18:41:00.000Z,mobile,5,true,false,0,false,,145,252,33,1,sess_467575,12150
2,Somewhat Sure,2025-04-04T18:24:00.000Z,mobile,,true,false,0,false,I learned about terms of service review,146,267,40,2,sess_777488,13082
1,Guessed,2024-07-28T12:57:00.000Z,desktop,,true,true,25,false,I learned about copyright understanding,147,164,39,4,sess_580794,2773
1,Somewhat Sure,2024-10-01T21:08:00.000Z,mobile,,true,false,0,false,,148,226,17,2,sess_621169,1197
1,Somewhat Sure,2025-08-01T18:21:00.000Z,desktop,4,true,false,0,true,I learned about blocking and filtering,149,201,24,1,sess_749787,394
1,Somewhat Sure,2025-08-21T14:52:00.000Z,desktop,,true,false,0,false,I learned about backup importance,150,174,30,4,sess_203630,5320
2,Very Sure,2025-11-21T11:04:00.000Z,mobile,5,false,true,15,false,,151,150,30,3,sess_847631,1926
1,Very Sure,2025-05-15T19:28:00.000Z,mobile,3,true,false,0,true,,152,158,2,4,sess_975188,8084
1,Somewhat Sure,2025-05-09T07:17:00.000Z,mobile,5,true,false,0,false,I learned about video call security,153,232,17,2,sess_259482,12988
2,Very Sure,2024-07-26T21:40:00.000Z,tablet,4,true,false,0,false,,154,294,5,1,sess_681182,1930
1,Guessed,2025-04-04T22:45:00.000Z,desktop,5,true,false,0,false,I learned about suspicious link alert,155,58,4,1,sess_582116,12462
2,Somewhat Sure,2024-12-26T06:00:00.000Z,mobile,,false,false,0,false,I learned about gaming safety,156,251,15,1,sess_861741,5501
2,Very Sure,2024-12-27T06:36:00.000Z,desktop,,false,false,0,false,,157,32,30,4,sess_866215,10897
2,Very Sure,2025-04-11T09:37:00.000Z,desktop,4,true,false,0,false,,158,30,13,2,sess_914947,1341
1,Somewhat Sure,2025-04-27T14:25:00.000Z,mobile,3,false,false,0,false,,159,145,24,1,sess_861708,2082
2,Very Sure,2024-10-23T07:52:00.000Z,mobile,4,true,false,0,false,I learned about profile privacy settings,160,102,34,3,sess_772050,3890
2,Unsure,2025-01-30T15:17:00.000Z,mobile,5,true,false,0,false,,161,36,4,1,sess_646943,14372
1,Guessed,2024-11-28T15:11:00.000Z,mobile,,false,false,0,true,,162,112,1,2,sess_439271,10537
1,Very Sure,2024-06-02T20:22:00.000Z,mobile,,true,false,0,false,,163,43,38,2,sess_387472,7055
1,Somewhat Sure,2025-07-25T19:40:00.000Z,mobile,5,true,true,25,false,,164,192,1,4,sess_673783,969
1,Unsure,2024-12-16T12:27:00.000Z,mobile,4,true,true,25,false,I learned about content sharing decision,165,251,25,3,sess_827925,6278
2,Unsure,2025-12-07T06:20:00.000Z,mobile,,true,false,0,false,,166,37,33,1,sess_725319,546
1,Unsure,2025-11-23T20:21:00.000Z,mobile,4,true,true,15,false,,167,278,17,3,sess_644694,1561
1,Somewhat Sure,2024-09-23T17:10:00.000Z,desktop,5,true,true,25,false,,168,128,5,3,sess_308045,7648
1,Unsure,2025-04-29T20:02:00.000Z,mobile,,true,false,0,false,,169,298,5,2,sess_209903,9478
2,Unsure,2025-05-13T15:43:00.000Z,desktop,3,true,false,0,true,I learned about content sharing decision,170,219,25,1,sess_330987,12714
1,Somewhat Sure,2024-10-15T22:34:00.000Z,mobile,5,true,false,0,false,,171,30,26,2,sess_824725,11592
1,Very Sure,2024-12-27T07:31:00.000Z,tablet,4,true,false,0,false,,172,152,28,2,sess_488415,4514
2,Very Sure,2025-04-22T14:01:00.000Z,mobile,,true,false,0,false,I learned about gaming safety,173,44,15,3,sess_807432,4164
1,Very Sure,2025-03-18T12:35:00.000Z,mobile,4,false,false,0,false,,174,186,16,2,sess_976860,14649
2,Unsure,2024-06-19T08:22:00.000Z,desktop,,true,false,0,false,,175,217,18,2,sess_531870,4804
1,Somewhat Sure,2024-08-31T21:17:00.000Z,tablet,,true,true,15,false,,176,221,26,1,sess_901885,12697
1,Somewhat Sure,2025-07-17T20:11:00.000Z,mobile,,true,false,0,false,,177,94,2,4,sess_383355,6405
2,Somewhat Sure,2025-04-30T11:24:00.000Z,mobile,,true,true,15,true,I learned about digital wellness check,178,279,36,4,sess_126030,8969
2,Somewhat Sure,2024-09-19T09:30:00.000Z,tablet,5,true,true,15,false,I learned about secure connection check,179,107,11,1,sess_241109,13695
1,Very Sure,2025-02-25T20:49:00.000Z,mobile,5,true,false,0,true,I learned about software updates,180,76,31,1,sess_487651,6693
1,Somewhat Sure,2024-11-12T08:54:00.000Z,mobile,,true,true,25,false,,181,300,34,1,sess_274303,13217
1,Very Sure,2025-08-05T19:14:00.000Z,tablet,,false,true,15,false,,182,230,20,3,sess_476068,10926
2,Very Sure,2025-06-22T22:24:00.000Z,mobile,5,true,true,25,false,I learned about content sharing decision,183,179,25,3,sess_889705,13145
1,Somewhat Sure,2025-04-19T11:01:00.000Z,desktop,,true,true,25,false,I learned about app permission review,184,136,9,4,sess_323095,1350
2,Somewhat Sure,2025-08-13T10:28:00.000Z,desktop,,true,true,15,false,I learned about online stranger danger,185,96,8,3,sess_553919,5619
2,Very Sure,2025-03-02T09:23:00.000Z,tablet,4,true,false,0,false,,186,256,9,3,sess_702183,13292
2,Guessed,2024-08-19T07:30:00.000Z,mobile,,true,false,0,false,I learned about report mechanisms,187,174,23,4,sess_380992,5027
1,Somewhat Sure,2025-09-15T07:58:00.000Z,mobile,4,true,true,40,true,,188,280,28,4,sess_245303,1524
1,Very Sure,2025-06-23T11:48:00.000Z,mobile,,false,false,0,true,,189,150,30,1,sess_903385,5068
1,Somewhat Sure,2025-06-25T16:58:00.000Z,mobile,,true,false,0,false,I learned about comment etiquette,190,63,35,2,sess_229891,4383
2,Somewhat Sure,2025-04-24T20:01:00.000Z,mobile,,true,true,25,true,,191,127,37,4,sess_144710,5149
1,Unsure,2025-09-13T12:43:00.000Z,mobile,3,true,false,0,false,I learned about website credibility,192,60,28,1,sess_158218,1838
1,Unsure,2025-11-30T07:58:00.000Z,mobile,5,true,false,0,false,,193,297,32,4,sess_459175,4029
2,Very Sure,2025-10-25T20:53:00.000Z,desktop,3,false,false,0,false,,194,205,1,3,sess_290483,257
2,Somewhat Sure,2025-11-18T14:41:00.000Z,desktop,3,true,false,0,false,,195,191,33,4,sess_121585,11230
1,Very Sure,2024-06-02T15:58:00.000Z,tablet,4,true,false,0,false,,196,96,11,3,sess_399504,3321
2,Very Sure,2025-05-01T10:38:00.000Z,mobile,,true,true,15,true,,197,173,3,1,sess_836605,6565
2,Somewhat Sure,2024-07-26T15:46:00.000Z,mobile,4,false,false,0,false,,198,101,27,3,sess_207003,8503
1,Somewhat Sure,2024-07-04T07:13:00.000Z,mobile,,true,false,0,false,,199,120,35,2,sess_860784,10261
1,Very Sure,2026-01-05T18:35:00.000Z,desktop,,true,false,0,false,,200,103,2,1,sess_975870,6620
1,Somewhat Sure,2024-11-02T08:30:00.000Z,mobile,,true,true,15,false,,201,244,36,4,sess_290736,303
1,Unsure,2024-09-28T15:45:00.000Z,tablet,,true,true,15,false,,202,75,3,1,sess_837519,7481
2,Somewhat Sure,2024-12-16T20:11:00.000Z,mobile,,false,false,0,false,,203,254,34,2,sess_398903,380
2,Somewhat Sure,2024-12-26T22:36:00.000Z,mobile,3,true,false,0,false,,204,244,2,4,sess_122195,10047
2,Somewhat Sure,2025-11-20T18:22:00.000Z,mobile,,true,false,0,true,,205,39,38,3,sess_146172,9565
2,Somewhat Sure,2024-10-08T06:38:00.000Z,desktop,4,true,false,0,false,I learned about phishing email detection,206,92,1,3,sess_535794,4357
2,Unsure,2024-09-11T21:07:00.000Z,tablet,,true,true,15,false,,207,300,14,1,sess_232987,7998
1,Somewhat Sure,2025-05-13T11:10:00.000Z,mobile,4,true,false,0,false,,208,78,33,2,sess_605230,8807
2,Very Sure,2024-09-10T21:38:00.000Z,tablet,,true,false,0,true,,209,283,33,1,sess_858486,14461
2,Somewhat Sure,2025-12-06T14:41:00.000Z,desktop,4,true,false,0,false,,210,167,12,4,sess_972704,2751
1,Somewhat Sure,2025-05-12T07:51:00.000Z,desktop,3,true,true,40,true,,211,92,40,4,sess_335960,11357
2,Guessed,2025-02-03T17:55:00.000Z,mobile,4,true,false,0,false,,212,295,12,2,sess_857979,8244
1,Very Sure,2025-09-09T06:24:00.000Z,mobile,4,true,false,0,false,I learned about software updates,213,258,31,1,sess_377333,8186
2,Somewhat Sure,2024-08-12T12:42:00.000Z,mobile,,true,false,0,false,,214,83,28,2,sess_157280,13026
1,Very Sure,2025-06-25T19:33:00.000Z,mobile,3,true,true,15,false,,215,270,14,1,sess_960883,5686
1,Guessed,2025-07-26T10:27:00.000Z,tablet,5,true,true,25,false,,216,129,32,3,sess_419196,10744
1,Somewhat Sure,2025-07-13T15:28:00.000Z,mobile,,true,false,0,false,,217,74,10,1,sess_615185,3989
1,Unsure,2025-05-11T10:49:00.000Z,mobile,4,true,false,0,false,I learned about email attachment safety,218,149,27,2,sess_260119,10631
1,Unsure,2024-11-26T14:27:00.000Z,mobile,,true,true,25,false,,219,108,32,3,sess_124558,10167
1,Guessed,2025-09-12T09:11:00.000Z,mobile,4,true,false,0,false,I learned about video call security,220,63,17,2,sess_879345,12193
2,Very Sure,2025-04-29T06:55:00.000Z,tablet,4,true,true,40,false,,221,77,22,2,sess_643060,3384
2,Guessed,2024-06-17T16:28:00.000Z,mobile,3,true,true,25,true,,222,253,32,3,sess_974236,1890
1,Somewhat Sure,2025-09-16T07:24:00.000Z,desktop,,false,false,0,false,,223,247,15,1,sess_605135,10598
1,Somewhat Sure,2024-09-06T17:11:00.000Z,mobile,4,true,false,0,false,,224,145,17,2,sess_760941,11994
1,Unsure,2024-11-08T16:55:00.000Z,mobile,4,false,true,25,false,,225,88,4,4,sess_199466,1110
1,Somewhat Sure,2025-02-21T14:18:00.000Z,desktop,3,false,false,0,false,,226,226,35,2,sess_269675,10544
2,Very Sure,2025-10-24T08:28:00.000Z,mobile,4,false,false,0,false,,227,251,23,1,sess_630112,3097
2,Unsure,2025-10-15T10:15:00.000Z,mobile,,true,false,0,false,,228,219,1,2,sess_326243,10552
1,Unsure,2024-09-30T15:15:00.000Z,mobile,,true,false,0,false,,229,233,16,2,sess_294657,3293
2,Somewhat Sure,2024-07-09T15:56:00.000Z,tablet,5,true,false,0,false,,230,63,40,1,sess_713734,752
